UKPRN,PROVIDER_NAME,ALIAS,FLAT_NAME_NUMBER,BUILDING_NAME_NUMBER,STREET_NAME,LOCALITY,TOWN,POSTCODE,PRIMARY_CONTACT_POSTCODE,WEBSITE_ADDRESS
10007795,UNIVERSITY OF LEEDS,,,,Woodhouse Lane,,Leeds,LS2 9JT,LS2 9JT,www.leeds.ac.uk
10007796,UNIVERSITY OF LEICESTER,,,,University Road,,Leicester,LE1 7RH,LE1 7RH,www.le.ac.uk
10007151,UNIVERSITY OF LINCOLN,,,,Campus Way,,Lincoln,LN6 7TS,LN6 7TS,www.lincoln.ac.uk
10006842,UNIVERSITY OF LIVERPOOL,,PO Box 147,,,,LIVERPOOL,L69 3BX,L69 7ZX,www.liv.ac.uk
10007797,UNIVERSITY OF LONDON,,,Senate House,Malet Street,,London,WC1E 7HU,WC1E 7HU,www.lon.ac.uk
10007799,UNIVERSITY OF NEWCASTLE UPON TYNE,Newcastle University,,,Claremont Road,,Newcastle Upon Tyne,NE1 7RU,NE1 7RU,www.ncl.ac.uk
10001282,UNIVERSITY OF NORTHUMBRIA AT NEWCASTLE,,,Ellison Building,Ellison Road,,Newcastle Upon Tyne,NE1 8ST,NE1 8ST,www.northumbria.ac.uk
10007154,UNIVERSITY OF NOTTINGHAM,,,,University Park,,Nottingham,NG7 2RD,NG7 2RD,www.nottingham.ac.uk
10007774,UNIVERSITY OF OXFORD,Oxford University,,University Offices,Wellington Square,,Oxford,OX1 2JD,OX1 2JD,www.ox.ac.uk
10007801,UNIVERSITY OF PLYMOUTH,,,,Drake Circus,,Plymouth,PL4 8AA,PL4 8AA,www.plymouth.ac.uk
10007155,UNIVERSITY OF PORTSMOUTH,,,University House,Winston Churchill Avenue,,Portsmouth,PO1 2UP,PO1 2UP,www.port.ac.uk
10007802,UNIVERSITY OF READING,,,WHITEKNIGHTS HOUSE,,WHITEKNIGHTS,READING,RG6 6UR,RG6 6UR,www.reading.ac.uk
10007156,UNIVERSITY OF SALFORD,,,Faraday House 43,Crescent,,Salford,M5 4WT,M5 4WT,www.salford.ac.uk
10007157,UNIVERSITY OF SHEFFIELD,,,,Western Bank,,Sheffield,S10 2TN,S10 2TN,www.shef.ac.uk
10007158,UNIVERSITY OF SOUTHAMPTON,,,,University Road,,Southampton,SO17 1BJ,SO17 1BJ,www.soton.ac.uk
10007803,UNIVERSITY OF ST ANDREWS,,,College Gate,North Street,,St. Andrews,KY16 9AJ,KY16 9AJ,www.st-andrews.ac.uk
10007804,UNIVERSITY OF STIRLING,,,,,,Stirling,FK9 4LA,FK9 4LA,www.stir.ac.uk
10007805,UNIVERSITY OF STRATHCLYDE,,,MCCANCE BUILDING 16,RICHMOND STREET,,GLASGOW,G1 1XQ,G1 1XQ,www.strath.ac.uk
10007159,UNIVERSITY OF SUNDERLAND,,,,Chester Road,,Sunderland,SR1 3SD,SR1 3SD,www.sunderland.ac.uk
10007160,UNIVERSITY OF SURREY,,,,,,Guildford,GU2 7XH,GU2 7XH,www.surrey.ac.uk
